price_num,accommodates,bathrooms,bedrooms,beds,minimum_nights,number_of_reviews,reviews_per_month,review_scores_rating,review_scores_cleanliness,review_scores_location,review_scores_value,availability_365,host_listings_count,amenity_count,price_per_person
217.0,2.0,1.0,1.0,2.0,2.0,208,1.2,4.8,4.78,4.86,4.75,51,1.0,45,108.5
222.87,3.0,1.0,1.0,2.0,30.0,25,0.13,4.85,4.79,4.79,4.74,35,1.0,7,74.29
222.87,4.0,1.0,1.0,2.0,30.0,19,0.1,4.95,5.0,4.94,4.88,0,1.0,14,55.7175
78.98,2.0,1.0,1.0,1.0,30.0,80,0.41,4.74,4.59,4.41,4.55,286,6.0,44,39.49
272.5,2.0,1.0,1.0,1.0,2.0,521,2.67,4.95,4.93,4.88,4.92,231,1.0,54,136.25
194.03,1.0,1.0,1.0,1.0,30.0,75,0.39,4.89,4.9,5.0,4.82,328,4.0,25,194.03
222.87,2.0,1.0,1.0,2.0,30.0,30,0.16,4.71,4.41,4.93,4.69,0,1.0,22,111.435
165.47,2.0,1.0,1.0,1.0,2.0,643,3.31,4.56,4.49,4.76,4.59,249,2.0,32,82.735
102.965,2.0,1.0,2.0,1.0,30.0,1,0.01,4.0,4.0,5.0,5.0,0,1.0,20,51.4825
222.87,2.0,1.0,1.0,2.0,30.0,102,0.57,4.64,4.56,4.48,4.62,0,1.0,22,111.435
222.87,2.0,1.0,1.0,2.0,30.0,35,0.19,4.77,4.66,4.94,4.77,0,1.0,28,111.435
146.03,2.0,1.0,1.0,2.0,30.0,313,1.81,4.7,4.64,4.94,4.73,325,1.0,31,73.015
336.65,3.0,1.5,1.0,1.0,30.0,47,0.26,4.98,4.77,4.91,4.75,365,1.0,10,112.21666666666665
246.5,2.0,1.0,1.0,1.0,1.0,180,1.02,4.69,4.14,4.95,4.59,151,1.0,31,123.25
83.2,2.0,1.5,1.0,1.0,30.0,229,1.27,4.6,4.14,4.46,4.61,365,1.0,23,41.6
61.12,1.0,1.0,1.0,1.0,30.0,90,0.53,4.66,4.81,4.62,4.59,72,1.0,40,61.12
165.93,2.0,1.0,1.0,2.0,30.0,12,0.07,4.5,3.58,3.83,4.17,88,1.0,7,82.965
226.77,8.0,1.0,2.0,6.0,30.0,9,0.05,4.71,4.22,4.67,4.33,287,28.0,41,28.34625
218.47,9.0,1.0,2.0,4.0,30.0,12,0.07,4.67,4.58,4.58,4.17,325,28.0,49,24.274444444444445
113.0,2.0,1.0,1.0,3.0,30.0,129,0.75,4.6,4.32,4.67,4.72,89,1.0,19,56.5
48.12,1.0,1.0,1.0,1.0,30.0,32,0.19,4.2,3.75,4.22,4.09,164,2.0,7,48.12
50.61,1.0,1.0,1.0,1.0,30.0,29,0.17,4.26,3.61,4.43,4.14,164,2.0,10,50.61
217.0,2.0,1.0,1.0,1.0,2.0,191,1.1,4.91,4.66,4.77,4.8,325,1.0,47,108.5
179.27,2.0,1.0,1.0,1.0,30.0,301,1.55,4.96,4.98,4.96,4.9,155,1.0,24,89.635
95.13,2.0,1.0,1.0,1.0,30.0,103,0.54,4.74,4.72,4.35,4.67,286,1.0,32,47.565
1184.33,2.0,2.5,5.0,6.0,3.0,43,0.25,4.7,4.52,4.86,4.62,354,2.0,68,592.165
102.965,2.0,1.0,1.0,1.0,30.0,68,0.39,4.72,4.76,4.86,4.55,0,2.0,32,51.4825
110.06,2.0,1.0,1.0,1.0,30.0,192,1.1,4.71,4.73,4.93,4.68,259,1.0,24,55.03
