price_num,accommodates,bathrooms,bedrooms,beds,minimum_nights,maximum_nights,availability_365,number_of_reviews,reviews_per_month,review_scores_rating,review_scores_cleanliness,review_scores_location,review_scores_value,host_listings_count,amenity_count,price_per_person,target_superhost
217.0,2.0,1.0,,2.0,2.0,30.0,51,208,1.2,4.8,4.78,4.86,4.75,1.0,45,108.5,1.0
,3.0,,,,30.0,365.0,35,25,0.13,4.85,4.79,4.79,4.74,1.0,7,,0.0
,4.0,,1.0,,30.0,30.0,0,19,0.1,4.95,5.0,4.94,4.88,1.0,14,,0.0
78.98,2.0,1.0,,1.0,30.0,730.0,286,80,0.41,4.74,4.59,4.41,4.55,6.0,44,39.49,1.0
272.5,2.0,1.0,,1.0,2.0,1125.0,231,521,2.67,4.95,4.93,4.88,4.92,1.0,54,136.25,1.0
194.03,1.0,1.0,1.0,1.0,30.0,360.0,328,75,0.39,4.89,4.9,5.0,4.82,4.0,25,194.03,0.0
,2.0,,,,30.0,59.0,0,30,0.16,4.71,4.41,4.93,4.69,1.0,22,,0.0
165.47,2.0,1.0,,1.0,2.0,1125.0,249,643,3.31,4.56,4.49,4.76,4.59,2.0,32,82.735,0.0
,2.0,,2.0,,30.0,60.0,0,1,0.01,4.0,4.0,5.0,5.0,1.0,20,,0.0
,2.0,,1.0,,30.0,518.0,0,102,0.57,4.64,4.56,4.48,4.62,1.0,22,,0.0
,2.0,,1.0,,30.0,1125.0,0,35,0.19,4.77,4.66,4.94,4.77,1.0,28,,0.0
146.03,2.0,1.0,1.0,2.0,30.0,31.0,325,313,1.81,4.7,4.64,4.94,4.73,1.0,31,73.015,0.0
336.65,3.0,1.5,1.0,1.0,30.0,365.0,365,47,0.26,4.98,4.77,4.91,4.75,1.0,10,112.21666666666665,0.0
246.5,2.0,1.0,,1.0,1.0,1125.0,151,180,1.02,4.69,4.14,4.95,4.59,1.0,31,123.25,1.0
83.2,2.0,1.5,,1.0,30.0,365.0,365,229,1.27,4.6,4.14,4.46,4.61,1.0,23,41.6,0.0
61.12,1.0,1.0,,1.0,30.0,120.0,72,90,0.53,4.66,4.81,4.62,4.59,1.0,40,61.12,0.0
165.93,2.0,1.0,1.0,2.0,30.0,60.0,88,12,0.07,4.5,3.58,3.83,4.17,1.0,7,82.965,0.0
226.77,8.0,1.0,2.0,6.0,30.0,180.0,287,9,0.05,4.71,4.22,4.67,4.33,28.0,41,28.34625,0.0
218.47,9.0,1.0,2.0,4.0,30.0,360.0,325,12,0.07,4.67,4.58,4.58,4.17,28.0,49,24.274444444444445,0.0
113.0,2.0,1.0,,3.0,30.0,730.0,89,129,0.75,4.6,4.32,4.67,4.72,1.0,19,56.5,0.0
48.12,1.0,,,1.0,30.0,60.0,164,32,0.19,4.2,3.75,4.22,4.09,2.0,7,48.12,0.0
50.61,1.0,1.0,,1.0,30.0,90.0,164,29,0.17,4.26,3.61,4.43,4.14,2.0,10,50.61,0.0
217.0,2.0,1.0,,1.0,2.0,1125.0,325,191,1.1,4.91,4.66,4.77,4.8,1.0,47,108.5,1.0
179.27,2.0,1.0,1.0,1.0,30.0,90.0,155,301,1.55,4.96,4.98,4.96,4.9,1.0,24,89.635,1.0
95.13,2.0,1.0,,1.0,30.0,999.0,286,103,0.54,4.74,4.72,4.35,4.67,1.0,32,47.565,0.0
1184.33,2.0,2.5,5.0,6.0,3.0,60.0,354,43,0.25,4.7,4.52,4.86,4.62,2.0,68,592.165,0.0
,2.0,,,,30.0,30.0,0,68,0.39,4.72,4.76,4.86,4.55,2.0,32,,0.0
110.06,2.0,1.0,,1.0,30.0,1125.0,259,192,1.1,4.71,4.73,4.93,4.68,1.0,24,55.03,0.0
47.71,1.0,1.0,,1.0,30.0,60.0,142,108,0.65,4.97,5.0,4.81,4.97,1.0,24,47.71,1.0
,4.0,,2.0,,30.0,30.0,0,25,0.21,4.68,4.72,4.72,4.48,1.0,10,,0.0
,4.0,,2.0,,30.0,1125.0,0,18,0.11,4.78,4.76,4.88,4.82,1.0,22,,0.0
176.22,2.0,1.0,,1.0,30.0,42.0,174,82,0.48,4.86,4.93,4.74,4.76,2.0,47,88.11,1.0
301.62,5.0,1.0,1.0,4.0,30.0,150.0,343,291,1.68,4.82,4.72,4.97,4.72,1.0,25,60.324,0.0
,6.0,,2.0,,30.0,60.0,19,63,0.36,4.9,4.74,5.0,4.79,3.0,18,,0.0
150.33,2.0,1.0,,1.0,3.0,29.0,75,230,1.28,4.93,4.93,4.96,4.9,1.0,29,75.165,0.0
239.41,2.0,1.0,1.0,1.0,30.0,90.0,88,134,0.74,4.83,4.78,4.95,4.8,3.0,33,119.705,0.0
146.97,2.0,1.0,,1.0,30.0,300.0,317,134,0.75,4.51,4.41,4.56,4.43,2.0,53,73.485,0.0
212.97,4.0,1.0,1.0,2.0,30.0,30.0,256,106,0.71,4.84,4.96,4.97,4.74,1.0,36,53.2425,0.0
,2.0,,,,30.0,101.0,0,70,0.39,4.41,4.47,4.04,4.45,3.0,11,,0.0
,4.0,,1.0,,30.0,1125.0,0,8,0.04,5.0,5.0,4.75,4.88,1.0,8,,0.0
149.69,8.0,1.0,2.0,5.0,30.0,1125.0,296,115,0.64,4.58,4.49,4.87,4.43,2.0,57,18.71125,0.0
253.75,2.0,1.0,,1.0,4.0,45.0,38,294,1.52,4.83,4.62,4.86,4.78,2.0,27,126.875,1.0
,4.0,,1.0,,30.0,30.0,0,336,1.74,4.71,4.82,4.38,4.72,2.0,29,,0.0
255.53,2.0,1.0,1.0,1.0,30.0,120.0,363,162,0.94,4.8,4.82,4.91,4.7,2.0,30,127.765,0.0
,4.0,,2.0,,30.0,1125.0,22,49,0.32,4.73,4.41,4.96,4.47,1.0,13,,0.0
114.33,2.0,1.0,2.0,3.0,30.0,40.0,363,3,0.05,4.67,4.33,5.0,4.67,2.0,29,57.165,1.0
85.54,1.0,1.0,,1.0,30.0,1125.0,290,187,1.33,4.75,4.59,4.94,4.71,6.0,19,85.54,1.0
,2.0,,2.0,,30.0,1125.0,0,52,0.3,4.67,4.57,4.86,4.6,1.0,26,,0.0
137.9,2.0,1.0,,1.0,30.0,365.0,122,95,0.55,4.8,4.68,4.6,4.7,4.0,33,68.95,0.0
200.0,2.0,,,2.0,1.0,1125.0,96,281,1.64,4.9,4.89,4.92,4.86,1.0,18,100.0,1.0
435.83,5.0,2.0,3.0,4.0,30.0,240.0,236,70,0.36,4.8,4.69,4.57,4.62,2.0,27,87.166,0.0
158.09,2.0,1.0,1.0,1.0,30.0,120.0,167,158,0.88,4.9,4.95,4.57,4.79,1.0,30,79.045,0.0
,2.0,,,,30.0,730.0,0,4,0.04,4.75,5.0,5.0,5.0,1.0,21,,0.0
74.7,4.0,1.0,,4.0,30.0,365.0,87,125,0.69,4.61,4.5,4.26,4.7,2.0,63,18.675,0.0
,2.0,,1.0,,30.0,365.0,0,14,0.08,4.82,4.83,5.0,4.83,1.0,4,,0.0
,3.0,,1.0,,30.0,60.0,0,9,0.05,4.67,4.67,4.22,4.44,1.0,10,,0.0
296.0,2.0,2.0,,1.0,4.0,1125.0,207,106,0.79,4.96,4.92,4.92,4.8,1.0,71,148.0,1.0
,2.0,,,,30.0,60.0,43,156,0.87,4.91,4.92,4.94,4.8,2.0,42,,1.0
109.13,1.0,1.0,1.0,2.0,30.0,1125.0,340,13,0.08,4.69,4.46,4.85,4.54,1.0,36,109.13,0.0
80.38,2.0,1.0,1.0,1.0,30.0,365.0,325,38,0.21,4.78,4.68,4.7,4.51,2.0,19,40.19,0.0
100.67,1.0,1.0,,2.0,30.0,30.0,89,36,0.21,4.75,4.69,4.33,4.64,1.0,35,100.67,0.0
123.17,2.0,1.0,,1.0,30.0,30.0,335,230,1.2,4.69,4.82,4.83,4.71,2.0,10,61.585,0.0
,4.0,,2.0,,30.0,1125.0,0,18,0.19,4.78,4.56,4.44,4.67,1.0,13,,0.0
399.57,16.0,2.5,5.0,9.0,30.0,730.0,365,13,0.07,4.42,4.36,4.82,4.55,11.0,19,24.973125,0.0
66.43,1.0,1.0,,1.0,30.0,40.0,263,0,0.0,,,,,1.0,10,66.43,0.0
65.36,2.0,1.0,,1.0,30.0,730.0,205,139,0.74,4.67,4.49,4.89,4.64,2.0,9,32.68,1.0
,2.0,,1.0,,30.0,30.0,0,19,0.11,4.84,4.53,4.56,4.67,2.0,10,,0.0
,2.0,,1.0,,90.0,400.0,32,5,0.03,5.0,4.8,4.6,5.0,2.0,19,,0.0
323.4,2.0,1.0,1.0,1.0,30.0,90.0,364,152,0.89,4.96,4.91,4.98,4.86,1.0,26,161.7,0.0
55.49,2.0,1.0,,1.0,30.0,1125.0,352,10,0.06,4.44,4.7,4.22,4.67,3.0,16,27.745,0.0
139.01,2.0,1.0,,1.0,30.0,1125.0,255,162,0.94,4.4,4.26,4.79,4.41,1.0,21,69.505,0.0
793.61,6.0,2.0,3.0,6.0,30.0,1125.0,242,1,0.03,5.0,5.0,5.0,5.0,3.0,56,132.26833333333335,0.0
,1.0,,2.0,,30.0,30.0,10,11,0.09,5.0,5.0,4.91,4.73,1.0,12,,0.0
413.0,2.0,1.0,1.0,1.0,3.0,8.0,90,173,1.0,4.96,4.98,4.99,4.81,1.0,36,206.5,1.0
195.98,2.0,1.0,2.0,4.0,30.0,1125.0,365,146,1.19,4.74,4.77,4.87,4.65,1.0,51,97.99,0.0
,2.0,,1.0,,30.0,80.0,0,57,0.3,4.71,4.38,4.89,4.7,1.0,40,,0.0
102.24,2.0,1.0,,1.0,14.0,730.0,264,80,0.42,4.73,4.57,4.82,4.66,3.0,33,51.12,1.0
,3.0,,,2.0,30.0,365.0,35,31,0.17,4.5,4.3,4.47,4.37,6.0,38,,1.0
,2.0,,,,30.0,60.0,0,58,0.32,4.71,4.41,4.17,4.5,3.0,11,,0.0
195.0,2.0,1.0,1.0,1.0,30.0,40.0,71,38,0.21,4.81,4.74,5.0,4.74,1.0,9,97.5,0.0
119.3,2.0,1.0,1.0,1.0,30.0,60.0,316,20,0.11,4.82,4.9,4.9,4.65,1.0,27,59.65,0.0
143.07,2.0,1.0,1.0,1.0,30.0,365.0,266,11,0.06,4.8,4.27,4.91,4.64,1.0,34,71.535,0.0
71.49,3.0,1.0,1.0,1.0,30.0,1125.0,92,104,0.58,4.62,4.68,4.52,4.63,1.0,37,23.83,1.0
218.5,5.0,1.0,2.0,3.0,30.0,250.0,223,251,1.4,4.92,4.93,4.94,4.87,2.0,27,43.7,0.0
173.95,2.0,1.0,1.0,2.0,30.0,365.0,60,114,0.64,4.61,4.19,4.92,4.63,1.0,19,86.975,1.0
161.57,2.0,1.0,,1.0,30.0,1125.0,364,92,0.52,4.9,4.98,4.26,4.78,1.0,40,80.785,0.0
,1.0,,,,30.0,31.0,0,0,0.0,,,,,2.0,7,,0.0
291.0,2.0,,2.0,,1.0,1125.0,17,145,0.77,4.97,4.92,4.9,4.9,1.0,50,145.5,1.0
88.13,1.0,,,1.0,30.0,365.0,123,107,0.62,4.66,4.57,4.87,4.7,1.0,13,88.13,0.0
,5.0,,1.0,,30.0,30.0,0,115,0.67,4.84,4.88,4.88,4.86,2.0,20,,0.0
55.86,2.0,2.0,2.0,3.0,30.0,1125.0,103,14,0.15,4.86,4.57,4.79,4.64,1.0,26,27.93,0.0
82.97,2.0,1.0,,1.0,30.0,1125.0,365,57,0.34,4.77,4.75,4.45,4.71,2.0,11,41.485,0.0
34.12,1.0,,,,60.0,300.0,325,13,0.13,4.62,4.23,4.92,4.77,4.0,7,34.12,0.0
83.73,2.0,2.0,,1.0,30.0,365.0,365,13,0.08,4.54,4.83,4.83,4.83,2.0,10,41.865,0.0
140.73,2.0,1.0,,1.0,30.0,60.0,272,42,0.25,4.73,4.9,4.36,4.67,1.0,14,70.365,0.0
117.06,4.0,1.0,1.0,1.0,30.0,365.0,365,33,0.17,4.34,4.3,4.44,4.35,11.0,6,29.265,0.0
170.87,7.0,1.0,2.0,3.0,30.0,730.0,365,5,0.03,4.0,4.25,4.25,4.25,11.0,10,24.41,0.0
351.53,12.0,2.0,4.0,8.0,30.0,730.0,365,16,0.09,4.71,4.44,4.69,4.44,11.0,12,29.294166666666666,0.0
160.76,2.0,,,1.0,30.0,60.0,365,0,0.0,,,,,1.0,18,80.38,0.0
